,accuracy,precision,recall,f1,roc_auc,average_precision
mean,0.7856254016820056,0.4311966613996536,0.27083994514776866,0.3258730216804923,0.7346695142545007,0.41664560347182555
std,0.046568252728392906,0.13219847420661632,0.12633503468956833,0.12490391245786736,0.06938497413534929,0.11523448492136043
