fold,accuracy,precision,recall,f1,roc_auc
0,0.7871145673975862,0.42296327360817976,0.2768142465614991,0.32804252753494106,0.7415514963033454
1,0.7849528099528099,0.42674383752324563,0.2663994874228756,0.32210584913659596,0.7357598176362534
2,0.7825568425568425,0.4306619695220386,0.2708089522405202,0.32591336849763763,0.7331839887183698
3,0.7879493779493779,0.44172711045068425,0.2719778420371459,0.32909085869551763,0.7325910401998251
4,0.7855534105534105,0.4338871158941198,0.2681991974768025,0.3242125045377692,0.7302612284147094
