accuracy,precision,recall,f1,roc_auc,average_precision,chunk,fold
0.745,0.5333333333333333,0.4444444444444444,0.48484848484848486,0.7473997970573313,0.563471574488741,30,4
0.795,0.6060606060606061,0.4166666666666667,0.49382716049382713,0.7815926535087718,0.5926975437892004,31,0
0.79,0.6296296296296297,0.3469387755102041,0.4473684210526316,0.7320583862684146,0.524652258556701,31,1
0.685,0.3157894736842105,0.24489795918367346,0.27586206896551724,0.6833355858899852,0.3583565454576658,31,2
0.75,0.4864864864864865,0.3673469387755102,0.4186046511627907,0.7341532639545885,0.44998573073688547,31,3
0.8,0.6451612903225806,0.40816326530612246,0.5,0.7479389106636032,0.5705546930135724,31,4
0.775,0.3888888888888889,0.17073170731707318,0.23728813559322035,0.7625402669121031,0.37922589415907,32,0
0.735,0.25,0.14634146341463414,0.18461538461538463,0.6940481668967633,0.3050269615931829,32,1
0.775,0.4090909090909091,0.21951219512195122,0.2857142857142857,0.771744132535665,0.37525579934675224,32,2
0.77,0.4074074074074074,0.2682926829268293,0.3235294117647059,0.7623868691517104,0.381759623415581,32,3
0.8,0.5294117647058824,0.21951219512195122,0.3103448275862069,0.7172879275962571,0.44985534494946,32,4
0.735,0.23809523809523808,0.11904761904761904,0.15873015873015872,0.766576250753466,0.367740013706981,33,0
0.795,0.52,0.30952380952380953,0.3880597014925373,0.73832127787824,0.45173339773067434,33,1
0.72,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6855033152501506,0.31027048645603744,33,2
0.74,0.34375,0.2619047619047619,0.2972972972972973,0.7591169379144063,0.3787218663440749,33,3
0.77,0.4,0.13953488372093023,0.20689655172413793,0.6892312250037032,0.3324146641386703,33,4
0.825,0.44,0.34375,0.38596491228070173,0.8217075892857142,0.45056071500083483,34,0
0.835,0.47619047619047616,0.3125,0.37735849056603776,0.7951078869047619,0.4516796638964196,34,1
0.87,0.6666666666666666,0.375,0.48,0.8534226190476191,0.633102641391541,34,2
0.85,0.53125,0.53125,0.53125,0.7979910714285714,0.5110268034177324,34,3
0.835,0.5,0.3939393939393939,0.4406779661016949,0.8091090546180366,0.48446549402453076,34,4
0.775,0.5416666666666666,0.5306122448979592,0.5360824742268041,0.8413299094472226,0.5756125955707823,35,0
0.775,0.5454545454545454,0.4897959183673469,0.5161290322580645,0.8282876064333018,0.5417453277672017,35,1
0.795,0.6111111111111112,0.4489795918367347,0.5176470588235295,0.8438302473307203,0.6062674625818657,35,2
0.75,0.5,0.5,0.5,0.7836666666666666,0.516339202104677,35,3
0.765,0.5348837209302325,0.46,0.4946236559139785,0.8182666666666666,0.6087564474198452,35,4
0.835,0.3076923076923077,0.14285714285714285,0.1951219512195122,0.6759759136212624,0.2674005507160392,36,0
0.83,0.3333333333333333,0.1724137931034483,0.22727272727272727,0.7247428917120388,0.282035757206759,36,1
0.82,0.3157894736842105,0.20689655172413793,0.25,0.7040734018955435,0.274558592999287,36,2
0.83,0.3076923076923077,0.13793103448275862,0.19047619047619047,0.7471264367816093,0.2980950109919874,36,3
0.835,0.3,0.10344827586206896,0.15384615384615385,0.7288767896753378,0.31853867810229686,36,4
0.825,0.4444444444444444,0.24242424242424243,0.3137254901960784,0.8049355833786972,0.437398747103498,37,0
0.865,0.65,0.3939393939393939,0.49056603773584906,0.8655416439847577,0.5958419697617515,37,1
0.87,0.7058823529411765,0.36363636363636365,0.48,0.8876791870803846,0.585612735572738,37,2
0.815,0.4090909090909091,0.2727272727272727,0.32727272727272727,0.8126474324079115,0.44575443902569234,37,3
0.825,0.48,0.35294117647058826,0.4067796610169492,0.7969525159461375,0.4111555425380372,37,4
