fold,accuracy,precision,recall,f1,roc_auc
1,0.5925088211345336,0.3064076346284935,0.8055555555555556,0.44395061728395063,0.7291425916648078
2,0.5837593304682198,0.29961089494163423,0.7936365673313914,0.43500153515505063,0.720274059040102
3,0.5864736484958154,0.3020401252857022,0.7992831541218638,0.43841002641764454,0.7188358355484605
4,0.5898213073965166,0.30283560352951255,0.7918906810035843,0.43812356695792276,0.722769350033595
5,0.5927165799592853,0.30620783878404917,0.8033154121863799,0.4434003091190108,0.7285288651762074
