metric,mean,std
fold,3.0,1.5811388300841898
accuracy,0.5890559374908741,0.0038932878854858063
precision,0.3034204194338783,0.0028919223574960843
recall,0.798736274039755,0.005929572853714246
f1,0.43977721098671585,0.0038064081516259868
roc_auc,0.7239101402926346,0.0047165195016870675
