model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
RandomForest,0.7744267889516901,0.002311066587061904,0.7501077914263703,0.002423920618641043,0.8207590241118561,0.002181835042512396,0.7838434461908963,0.0021239881422094693,0.8586204321099562,0.002162594905369983
XGBoost,0.8028864953254417,0.0035391929385898717,0.7908623742487635,0.0034948976135514335,0.8217434726779855,0.00383720658359347,0.8060058250302315,0.0035033070003603274,0.886358524049264,0.0022277117449036685
MLP,0.7292879741210765,0.003489036619715665,0.7161508723987213,0.010994707722020039,0.7577971179911542,0.022473685612261617,0.7360267109074535,0.005726516711059258,0.8045736349526699,0.002634701130042816
Stacking Ensemble,0.8029078241086346,0.0030516313857142556,0.8036453595602666,0.0030406442960994365,0.7999429305179057,0.006215826854881595,0.801775360184922,0.0035357922468143717,0.8866483580033755,0.00207076024461083
