iter,n_d,n_a,n_steps,gamma,lambda_sparse,optimizer_params,batch_size,virtual_batch_size,mask_type,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
1,32,8,3,2.0,0.001,{'lr': 0.01},128,32,entmax,0.5483053887324942,0.026479642720337985,0.292868426671905,0.008140321702961861,0.8705117525460236,0.03537163382864232,0.43790448477688465,0.005058643878245441,0.7207740158913191,0.0016179338350177886
2,32,32,7,1.0,0.01,{'lr': 0.001},128,32,entmax,0.554557143223456,0.010660020719169098,0.29467178540963146,0.004141809203679111,0.8646002636572954,0.009735068569406279,0.43949064403261495,0.0035746976899457407,0.7226524783064432,0.0036028471552334795
3,8,8,7,2.0,0.0001,{'lr': 0.01},512,128,sparsemax,0.5641032709644159,0.04887183675959383,0.29538207752871903,0.015153674484798714,0.8227506912671853,0.06710331921505189,0.4332702881356004,0.009077589984196546,0.7166473697751895,0.004077127959256408
4,8,16,7,1.5,0.0001,{'lr': 0.01},512,64,sparsemax,0.5397822754148736,0.04096992923618782,0.2885560274803379,0.013514408726963934,0.8643742817286217,0.03352264337531831,0.43211521036084743,0.012284329770828214,0.7176853298714719,0.0008724527378398898
5,16,8,3,1.5,0.0001,{'lr': 0.01},256,32,sparsemax,0.5359642116689194,0.019457904162271254,0.28712924551150987,0.007845194323392132,0.8732917689613604,0.011210719976281184,0.4320505077109079,0.007906748705375293,0.7128458754452044,0.008559815768666936
