fold,accuracy,precision,recall,f1,roc_auc
1,0.5448294580656835,0.29177143730934507,0.8734767025089605,0.43713433234931187,0.7217980590367805
2,0.5600995249943452,0.2942681187564163,0.8403764284113825,0.4356157635143399,0.7166356483391397
3,0.511422755032798,0.27948545482330844,0.8956093189964157,0.42581325791288516,0.717973209556428
4,0.5526351504184573,0.2933902432407451,0.856989247311828,0.4362806902588172,0.7148609531417017
5,0.5737254014928749,0.2996923084722882,0.8290770609318997,0.43998709098150107,0.7193371992155778
